what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1370420313740
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1370420313740
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1370420313741
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1370420313741
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1370420313741
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1370420313742
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1370420313743
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1370420313744
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1370420313746
started,bundle,org.eclipse.php.core,2.1.1.v20090921-1100,"org.eclipse.php.core",1370420313753
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1370420313754
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1370420313754
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1370420313756
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1370420313757
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1370420313758
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1370420313759
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1370420313761
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1370420313761
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1370420313762
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1370420313763
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1370420313763
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1370420313791
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1370420313792
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1370420313792
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1370420313792
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,"org.tigris.subversion.subclipse.core",1370420313792
os,sysinfo,,,"win32",1370420313794
arch,sysinfo,,,"x86",1370420313794
ws,sysinfo,,,"win32",1370420313794
locale,sysinfo,,,"fr_CH",1370420313794
processors,sysinfo,,,"8",1370420313794
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1370420313794
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1370420313794
java.specification.name,sysinfo,,,"Java Platform API Specification",1370420313794
java.specification.vendor,sysinfo,,,"Oracle Corporation",1370420313794
java.specification.version,sysinfo,,,"1.7",1370420313794
java.vendor,sysinfo,,,"Oracle Corporation",1370420313794
java.version,sysinfo,,,"1.7.0_21",1370420313794
java.vm.info,sysinfo,,,"mixed mode, sharing",1370420313794
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1370420313794
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1370420313794
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1370420313794
java.vm.specification.version,sysinfo,,,"1.7",1370420313794
java.vm.vendor,sysinfo,,,"Oracle Corporation",1370420313794
java.vm.version,sysinfo,,,"23.21-b01",1370420313794
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1370420314035
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1370420314094
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1370420314117
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1370420321257
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1370420327328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1370420328455
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1370420441823
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1370420450322
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1370420490453
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1370420490484
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1370420490492
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1370420501561
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1370420501625
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1370420501663
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1370420501665
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1370420501686
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1370420501687
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1370420501693
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1370420501699
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1370420501700
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1370420501715
started,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1370420501731
